checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
'<0',6,'critical/other existing credit',buy_radio_tv,338,'500<=X<1000','>=7',4,'male single',none,4,car,52,none,own,2,skilled,1,none,yes,good
'no checking',12,'existing paid',buy_radio_tv,1963,'<100','4<=X<7',4,'male single',none,2,car,31,none,rent,2,'high qualif/self emp/mgmt',2,yes,yes,good
'<0',21,'critical/other existing credit',buy_new_car,571,'<100','>=7',4,'male single',none,4,'real estate',65,none,own,2,skilled,1,none,yes,good
'no checking',36,'delayed previously',business,9572,'<100','<1',1,'male div/sep',none,1,car,28,none,own,2,skilled,1,none,yes,bad
'0<=X<200',36,'delayed previously',business,4455,'<100','1<=X<4',2,'male div/sep',none,2,'real estate',30,stores,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad
'<0',21,'all paid',buy_new_car,1647,'no known savings','1<=X<4',4,'male single',none,2,'life insurance',40,none,own,2,'unskilled resident',2,none,yes,bad
'no checking',24,'critical/other existing credit',buy_furniture_equipment,3777,'>=1000','1<=X<4',4,'male single',none,4,'real estate',50,none,own,1,skilled,1,yes,yes,good
'0<=X<200',18,'critical/other existing credit',buy_new_car,884,'<100','>=7',4,'male single',none,4,car,36,bank,own,1,skilled,2,yes,yes,bad
'no checking',15,'critical/other existing credit',buy_radio_tv,1360,'<100','1<=X<4',4,'male single',none,2,'life insurance',31,none,own,2,skilled,1,none,yes,good
'0<=X<200',9,'all paid',buy_used_car,5129,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',74,bank,'for free',1,'high qualif/self emp/mgmt',2,yes,yes,bad
'0<=X<200',16,'critical/other existing credit',buy_new_car,1175,'<100',unemployed,2,'male single',none,3,car,68,none,'for free',3,'unemp/unskilled non res',1,yes,yes,good
'<0',12,'existing paid',buy_radio_tv,674,'100<=X<500','4<=X<7',4,'male mar/wid',none,1,'life insurance',20,none,own,1,skilled,1,none,yes,bad
'0<=X<200',18,'no credits/all paid',buy_furniture_equipment,3244,'<100','1<=X<4',1,'female div/dep/mar',none,4,car,33,bank,own,2,skilled,1,yes,yes,good
'no checking',24,'existing paid',business,4591,'>=1000','1<=X<4',2,'male single',none,3,'life insurance',54,none,own,3,'high qualif/self emp/mgmt',1,yes,yes,bad
'0<=X<200',48,'no credits/all paid',business,3844,'100<=X<500','4<=X<7',4,'male single',none,4,'no known property',34,none,'for free',1,'unskilled resident',2,none,yes,bad
'0<=X<200',27,'existing paid',business,3915,'<100','1<=X<4',4,'male single',none,2,car,36,none,own,1,skilled,2,yes,yes,bad
'no checking',6,'existing paid',buy_radio_tv,2108,'<100','4<=X<7',2,'male mar/wid',none,2,'real estate',29,none,rent,1,skilled,1,none,yes,good
'0<=X<200',45,'existing paid',buy_radio_tv,3031,'100<=X<500','1<=X<4',4,'male single',guarantor,4,'life insurance',21,none,rent,1,skilled,1,none,yes,bad
'0<=X<200',9,'critical/other existing credit',education,1501,'<100','>=7',2,'female div/dep/mar',none,3,car,34,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',6,'critical/other existing credit',buy_radio_tv,1382,'<100','1<=X<4',1,'female div/dep/mar',none,1,car,28,none,own,2,skilled,1,yes,yes,good
'0<=X<200',12,'existing paid',buy_furniture_equipment,951,'100<=X<500','<1',4,'female div/dep/mar',none,4,car,27,bank,rent,4,skilled,1,none,yes,bad
'0<=X<200',24,'existing paid',buy_used_car,2760,'no known savings','>=7',4,'male single',none,4,'no known property',36,bank,'for free',1,skilled,1,yes,yes,good
'0<=X<200',18,'delayed previously',buy_furniture_equipment,4297,'<100','>=7',4,'male div/sep',none,3,'no known property',40,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',9,'critical/other existing credit',education,936,'500<=X<1000','>=7',4,'male single',none,2,car,52,none,own,2,skilled,1,yes,yes,good
'<0',12,'existing paid',buy_new_car,1168,'<100','1<=X<4',4,'male mar/wid',none,3,'real estate',27,none,own,1,'unskilled resident',1,none,yes,good
'no checking',27,'delayed previously',business,5117,'<100','4<=X<7',3,'male single',none,4,car,26,none,own,2,skilled,1,none,yes,good
'<0',12,'existing paid',retraining,902,'<100','4<=X<7',4,'male mar/wid',none,4,'life insurance',21,none,rent,1,skilled,1,none,yes,bad
'no checking',12,'critical/other existing credit',buy_new_car,1495,'<100','>=7',4,'male single',none,1,'real estate',38,none,own,2,'unskilled resident',2,none,yes,good
'<0',30,'critical/other existing credit',buy_used_car,10623,'<100','>=7',3,'male single',none,4,'no known property',38,none,'for free',3,'high qualif/self emp/mgmt',2,yes,yes,good
'no checking',12,'critical/other existing credit',buy_furniture_equipment,1935,'<100','>=7',4,'male single',none,4,'real estate',43,none,own,3,skilled,1,yes,yes,good
'0<=X<200',12,'critical/other existing credit',buy_domestic_appliance,1424,'<100','4<=X<7',4,'male single',none,3,'life insurance',26,none,own,1,skilled,1,none,yes,good
'<0',24,'existing paid',business,6568,'<100','1<=X<4',2,'male mar/wid',none,2,car,21,stores,own,1,'unskilled resident',1,none,yes,good
'no checking',12,'existing paid',buy_used_car,1413,'>=1000','4<=X<7',3,'male single',none,2,'life insurance',55,none,own,1,skilled,1,none,no,good
'no checking',9,'critical/other existing credit',buy_radio_tv,3074,'no known savings','1<=X<4',1,'male single',none,2,'real estate',33,none,own,2,skilled,2,none,yes,good
'no checking',36,'existing paid',buy_radio_tv,3835,'no known savings','>=7',2,'female div/dep/mar',none,4,'real estate',45,none,own,1,'unskilled resident',1,yes,yes,good
'<0',27,'no credits/all paid',business,5293,'<100',unemployed,2,'male single',none,4,'life insurance',50,stores,own,2,skilled,1,yes,yes,bad
'>=200',30,'delayed previously',business,1908,'<100','>=7',4,'male single',none,4,'real estate',66,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',36,'critical/other existing credit',buy_radio_tv,3342,'no known savings','>=7',4,'male single',none,2,car,51,none,own,1,skilled,1,yes,yes,good
'0<=X<200',6,'critical/other existing credit',retraining,932,'no known savings','4<=X<7',1,'female div/dep/mar',none,3,'life insurance',39,none,own,2,'unskilled resident',1,none,yes,good
'<0',18,'no credits/all paid',business,3104,'<100','4<=X<7',3,'male single',none,1,'life insurance',31,bank,own,1,skilled,1,yes,yes,good
'>=200',36,'existing paid',buy_radio_tv,3913,'<100','1<=X<4',2,'male single',none,2,'real estate',23,none,own,1,skilled,1,yes,yes,good
'<0',24,'existing paid',buy_furniture_equipment,3021,'<100','1<=X<4',2,'male div/sep',none,2,'real estate',24,none,rent,1,'unskilled resident',1,none,yes,good
'no checking',10,'existing paid',buy_new_car,1364,'<100','1<=X<4',2,'female div/dep/mar',none,4,car,64,none,own,1,skilled,1,yes,yes,good
'0<=X<200',12,'existing paid',buy_radio_tv,625,'<100','<1',4,'male mar/wid',guarantor,1,'real estate',26,bank,own,1,'unskilled resident',1,none,yes,good
'<0',12,'existing paid',education,1200,'no known savings','1<=X<4',4,'female div/dep/mar',none,4,'life insurance',23,bank,rent,1,skilled,1,yes,yes,good
'no checking',12,'existing paid',buy_radio_tv,707,'<100','1<=X<4',4,'male single',none,2,'real estate',30,bank,own,2,skilled,1,none,yes,good
'no checking',24,'delayed previously',business,2978,'no known savings','1<=X<4',4,'male single',none,4,'real estate',32,none,own,2,skilled,2,yes,yes,good
'no checking',15,'existing paid',buy_used_car,4657,'<100','1<=X<4',3,'male single',none,2,car,30,none,own,1,skilled,1,yes,yes,good
'no checking',36,'no credits/all paid',repairs,2613,'<100','1<=X<4',4,'male single',none,2,car,27,none,own,2,skilled,1,none,yes,good
'0<=X<200',48,'existing paid',buy_radio_tv,10961,'>=1000','4<=X<7',1,'male single','co applicant',2,'no known property',27,bank,own,2,skilled,1,yes,yes,bad
'<0',12,'existing paid',buy_furniture_equipment,7865,'<100','>=7',4,'male single',none,4,'no known property',53,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,bad
'no checking',9,'existing paid',buy_radio_tv,1478,'<100','4<=X<7',4,'male single',none,2,car,22,none,own,1,skilled,1,none,yes,bad
'<0',24,'existing paid',buy_furniture_equipment,3149,'<100','<1',4,'male single',none,1,'no known property',22,bank,'for free',1,skilled,1,none,yes,good
'>=200',36,'existing paid',buy_radio_tv,4210,'<100','1<=X<4',4,'male single',none,2,car,26,none,own,1,skilled,1,none,yes,bad
'no checking',9,'existing paid',buy_new_car,2507,'500<=X<1000','>=7',2,'male single',none,4,'no known property',51,none,'for free',1,'unskilled resident',1,none,yes,good
'no checking',12,'existing paid',buy_radio_tv,2141,'100<=X<500','4<=X<7',3,'male single',none,1,'no known property',35,none,own,1,skilled,1,none,yes,good
'0<=X<200',18,'existing paid',buy_radio_tv,866,'<100','1<=X<4',4,'male mar/wid',guarantor,2,'real estate',25,none,own,1,'unskilled resident',1,none,yes,good
'no checking',4,'critical/other existing credit',buy_radio_tv,1544,'<100','4<=X<7',2,'male single',none,1,'real estate',42,none,own,3,'unskilled resident',2,none,yes,good
'<0',24,'existing paid',buy_radio_tv,1823,'<100',unemployed,4,'male single',none,2,car,30,stores,own,1,'high qualif/self emp/mgmt',2,none,yes,bad
'0<=X<200',6,'existing paid',buy_new_car,14555,'no known savings',unemployed,1,'male single',none,2,'life insurance',23,none,own,1,'unemp/unskilled non res',1,yes,yes,bad
'0<=X<200',21,'existing paid',business,2767,'100<=X<500','>=7',4,'male div/sep',none,2,car,61,bank,rent,2,'unskilled resident',1,none,yes,bad
'no checking',12,'critical/other existing credit',buy_radio_tv,1291,'<100','1<=X<4',4,'female div/dep/mar',none,2,'life insurance',35,none,own,2,skilled,1,none,yes,good
'<0',30,'existing paid',buy_radio_tv,2522,'<100','>=7',1,'male single',guarantor,3,'life insurance',39,none,own,1,skilled,2,none,yes,good
'<0',24,'existing paid',buy_new_car,915,'no known savings','>=7',4,'female div/dep/mar',none,2,car,29,bank,own,1,skilled,1,none,yes,bad
'no checking',6,'existing paid',buy_radio_tv,1595,'<100','4<=X<7',3,'male single',none,2,'life insurance',51,none,own,1,skilled,2,none,yes,good
'<0',48,'no credits/all paid',buy_used_car,4605,'<100','>=7',3,'male single',none,4,'no known property',24,none,'for free',2,skilled,2,none,yes,bad
'no checking',12,'critical/other existing credit',business,1185,'<100','1<=X<4',3,'female div/dep/mar',none,2,'real estate',27,none,own,2,skilled,1,none,yes,good
'no checking',12,'all paid',retraining,3447,'500<=X<1000','1<=X<4',4,'female div/dep/mar',none,3,'real estate',35,none,own,1,'unskilled resident',2,none,yes,good
'no checking',24,'existing paid',business,1258,'<100','4<=X<7',4,'male single',none,1,'real estate',25,none,own,1,skilled,1,yes,yes,good
'no checking',12,'critical/other existing credit',buy_radio_tv,717,'<100','>=7',4,'male single',none,4,'real estate',52,none,own,3,skilled,1,none,yes,good
'no checking',6,'no credits/all paid',buy_new_car,1204,'100<=X<500','1<=X<4',4,'male single',none,1,'no known property',35,bank,rent,1,skilled,1,none,no,good
'>=200',24,'existing paid',buy_furniture_equipment,1925,'<100','1<=X<4',2,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,yes,good
'no checking',18,'existing paid',buy_radio_tv,433,'<100',unemployed,3,'female div/dep/mar','co applicant',4,'real estate',22,none,rent,1,skilled,1,none,yes,bad
'<0',6,'critical/other existing credit',buy_new_car,666,'>=1000','4<=X<7',3,'female div/dep/mar',none,4,'real estate',39,none,own,2,'unskilled resident',1,yes,yes,good
'>=200',12,'existing paid',buy_furniture_equipment,2251,'<100','1<=X<4',1,'female div/dep/mar',none,2,car,46,none,own,1,'unskilled resident',1,none,yes,good
'0<=X<200',30,'existing paid',buy_new_car,2150,'<100','1<=X<4',4,'female div/dep/mar',guarantor,2,'no known property',24,bank,own,1,skilled,1,none,yes,bad
'no checking',24,'delayed previously',buy_furniture_equipment,4151,'100<=X<500','1<=X<4',2,'male single',none,3,'life insurance',35,none,own,2,skilled,1,none,yes,good
'0<=X<200',9,'existing paid',buy_furniture_equipment,2030,'no known savings','4<=X<7',2,'male single',none,1,car,24,none,own,1,skilled,1,yes,yes,good
'0<=X<200',60,'delayed previously',buy_radio_tv,7418,'no known savings','1<=X<4',1,'male single',none,1,'real estate',27,none,own,1,'unskilled resident',1,none,yes,good
'no checking',24,'critical/other existing credit',buy_radio_tv,2684,'<100','1<=X<4',4,'male single',none,2,'real estate',35,none,own,2,'unskilled resident',1,none,yes,good
'<0',12,'all paid',buy_radio_tv,2149,'<100','1<=X<4',4,'male div/sep',none,1,'no known property',29,none,'for free',1,skilled,1,none,yes,bad
'no checking',15,'existing paid',buy_used_car,3812,'100<=X<500','<1',1,'female div/dep/mar',none,4,car,23,none,own,1,skilled,1,yes,yes,good
'no checking',11,'critical/other existing credit',buy_radio_tv,1154,'100<=X<500',unemployed,4,'female div/dep/mar',none,4,'real estate',57,none,own,3,'unskilled resident',1,none,yes,good
'<0',12,'existing paid',buy_furniture_equipment,1657,'<100','1<=X<4',2,'male single',none,2,'real estate',27,none,own,1,skilled,1,none,yes,good
'<0',24,'existing paid',buy_radio_tv,1603,'<100','>=7',4,'female div/dep/mar',none,4,car,55,none,own,1,skilled,1,none,yes,good
'<0',18,'critical/other existing credit',buy_new_car,5302,'<100','>=7',2,'male single',none,4,'no known property',36,none,'for free',3,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',12,'critical/other existing credit',education,2748,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',57,bank,'for free',3,'unskilled resident',1,none,yes,good
'no checking',10,'critical/other existing credit',buy_new_car,1231,'<100','>=7',3,'male single',none,4,'real estate',32,none,own,2,'unskilled resident',2,none,no,good
'0<=X<200',15,'existing paid',buy_radio_tv,802,'<100','>=7',4,'male single',none,3,car,37,none,own,1,skilled,2,none,yes,bad
'no checking',36,'critical/other existing credit',business,6304,'no known savings','>=7',4,'male single',none,4,'real estate',36,none,own,2,skilled,1,none,yes,good
'no checking',24,'existing paid',buy_radio_tv,1533,'<100','<1',4,'female div/dep/mar',none,3,car,38,stores,own,1,skilled,1,yes,yes,good
'<0',14,'existing paid',buy_new_car,8978,'<100','>=7',1,'male div/sep',none,4,'life insurance',45,none,own,1,'high qualif/self emp/mgmt',1,yes,no,bad
'no checking',24,'existing paid',buy_radio_tv,999,'no known savings','>=7',4,'male single',none,2,car,25,none,own,2,skilled,1,none,yes,good
'no checking',18,'existing paid',buy_new_car,2662,'no known savings','4<=X<7',4,'male single',none,3,'life insurance',32,none,own,1,skilled,1,none,no,good
'no checking',12,'critical/other existing credit',buy_furniture_equipment,1402,'500<=X<1000','4<=X<7',3,'female div/dep/mar',none,4,car,37,none,rent,1,skilled,1,yes,yes,good
'0<=X<200',48,'all paid',buy_new_car,12169,'no known savings',unemployed,4,'male single','co applicant',4,'no known property',36,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'0<=X<200',48,'existing paid',buy_radio_tv,3060,'<100','4<=X<7',4,'male single',none,4,'real estate',28,none,own,2,skilled,1,none,yes,bad
'<0',30,'existing paid',repairs,11998,'<100','<1',1,'male div/sep',none,1,'no known property',34,none,own,1,'unskilled resident',1,yes,yes,bad
'no checking',9,'existing paid',buy_radio_tv,2697,'<100','1<=X<4',1,'male single',none,2,'real estate',32,none,own,1,skilled,2,none,yes,good
'no checking',18,'critical/other existing credit',buy_radio_tv,2404,'<100','1<=X<4',2,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,none,yes,good
'<0',12,'existing paid',buy_furniture_equipment,1262,'no known savings','>=7',2,'male div/sep',none,4,'life insurance',49,none,own,1,'unskilled resident',1,yes,yes,good
'no checking',6,'existing paid',buy_furniture_equipment,4611,'<100','<1',1,'female div/dep/mar',none,4,'life insurance',32,none,own,1,skilled,1,none,yes,bad
'no checking',24,'existing paid',buy_radio_tv,1901,'100<=X<500','1<=X<4',4,'male single',none,4,car,29,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',15,'critical/other existing credit',buy_used_car,3368,'>=1000','>=7',3,'male single',none,4,'no known property',23,none,rent,2,skilled,1,yes,yes,good
'no checking',12,'existing paid',buy_furniture_equipment,1574,'<100','1<=X<4',4,'male single',none,2,'real estate',50,none,own,1,skilled,1,none,yes,good
'>=200',18,'all paid',buy_radio_tv,1445,'no known savings','4<=X<7',4,'male single',none,4,car,49,bank,own,1,'unskilled resident',1,none,yes,good
'no checking',15,'critical/other existing credit',buy_furniture_equipment,1520,'no known savings','>=7',4,'male single',none,4,'life insurance',63,none,own,1,skilled,1,none,yes,good
'0<=X<200',24,'critical/other existing credit',buy_new_car,3878,'100<=X<500','<1',4,'male div/sep',none,2,car,37,none,own,1,skilled,1,yes,yes,good
'<0',47,'existing paid',buy_new_car,10722,'<100','<1',1,'female div/dep/mar',none,1,'real estate',35,none,own,1,'unskilled resident',1,yes,yes,good
'<0',48,'existing paid',buy_used_car,4788,'<100','4<=X<7',4,'male single',none,3,'life insurance',26,none,own,1,skilled,2,none,yes,good
'0<=X<200',48,'delayed previously',other,7582,'100<=X<500',unemployed,2,'male single',none,4,'no known property',31,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'0<=X<200',12,'existing paid',buy_radio_tv,1092,'<100','1<=X<4',4,'female div/dep/mar',guarantor,4,'real estate',49,none,own,2,skilled,1,yes,yes,good
'<0',24,'delayed previously',buy_radio_tv,1024,'<100','<1',4,'male mar/wid',none,4,'real estate',48,stores,own,1,skilled,1,none,yes,bad
'no checking',12,'existing paid',business,1076,'<100','1<=X<4',2,'male mar/wid',none,2,'real estate',26,none,own,1,skilled,1,yes,no,good
'0<=X<200',36,'existing paid',buy_used_car,9398,'<100','<1',1,'male mar/wid',none,4,car,28,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'<0',24,'critical/other existing credit',buy_used_car,6419,'<100','>=7',2,'female div/dep/mar',none,4,'no known property',44,none,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,good
'>=200',42,'critical/other existing credit',buy_used_car,4796,'<100','>=7',4,'male single',none,4,'no known property',56,none,'for free',1,skilled,1,none,yes,good
'no checking',48,'critical/other existing credit',business,7629,'no known savings','>=7',4,'male div/sep',none,2,car,46,bank,own,2,'high qualif/self emp/mgmt',2,none,yes,good
'0<=X<200',48,'existing paid',buy_furniture_equipment,9960,'<100','<1',1,'female div/dep/mar',none,2,car,26,none,own,1,skilled,1,yes,yes,bad
'no checking',12,'existing paid',buy_used_car,4675,'no known savings','<1',1,'female div/dep/mar',none,4,car,20,none,rent,1,skilled,1,none,yes,good
'no checking',10,'existing paid',buy_new_car,1287,'no known savings','>=7',4,'male single','co applicant',2,'life insurance',45,none,own,1,'unskilled resident',1,none,no,good
'no checking',18,'existing paid',buy_furniture_equipment,2515,'<100','1<=X<4',3,'male single',none,4,'real estate',43,none,own,1,skilled,1,yes,yes,good
'0<=X<200',21,'critical/other existing credit',buy_furniture_equipment,2745,'>=1000','4<=X<7',3,'male single',none,2,car,32,none,own,2,skilled,1,yes,yes,good
'no checking',6,'existing paid',buy_new_car,672,'<100',unemployed,1,'female div/dep/mar',none,4,'real estate',54,none,own,1,'unemp/unskilled non res',1,yes,yes,good
'0<=X<200',36,'no credits/all paid',buy_radio_tv,3804,'<100','1<=X<4',4,'female div/dep/mar',none,1,car,42,none,own,1,skilled,1,yes,yes,bad
'>=200',24,'critical/other existing credit',buy_new_car,1344,'no known savings','4<=X<7',4,'male single',none,2,'real estate',37,bank,own,2,'unskilled resident',2,none,yes,bad
'<0',10,'critical/other existing credit',buy_new_car,1038,'<100','4<=X<7',4,'male single','co applicant',3,'life insurance',49,none,own,2,skilled,1,yes,yes,good
'no checking',48,'critical/other existing credit',buy_new_car,10127,'500<=X<1000','1<=X<4',2,'male single',none,2,'no known property',44,bank,'for free',1,skilled,1,none,yes,bad
'no checking',6,'existing paid',buy_furniture_equipment,1543,'>=1000','1<=X<4',4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,1,none,yes,good
'no checking',30,'existing paid',buy_used_car,4811,'no known savings','4<=X<7',2,'female div/dep/mar',none,4,'life insurance',24,stores,rent,1,'unskilled resident',1,none,yes,good
'<0',12,'existing paid',buy_radio_tv,727,'100<=X<500','<1',4,'male mar/wid',none,3,'no known property',33,none,own,1,'unskilled resident',1,yes,yes,bad
'0<=X<200',8,'existing paid',buy_furniture_equipment,1237,'<100','1<=X<4',3,'female div/dep/mar',none,4,'real estate',24,none,own,1,skilled,1,none,yes,bad
'0<=X<200',9,'existing paid',buy_new_car,276,'<100','1<=X<4',4,'male mar/wid',none,4,'real estate',22,none,rent,1,'unskilled resident',1,none,yes,good
'0<=X<200',48,'existing paid',other,5381,'no known savings',unemployed,3,'male single',none,4,'no known property',40,bank,'for free',1,'unemp/unskilled non res',1,yes,yes,good
'no checking',24,'existing paid',buy_furniture_equipment,5511,'100<=X<500','1<=X<4',4,'male single',none,1,car,25,stores,own,1,skilled,1,none,yes,good
'>=200',24,'existing paid',buy_furniture_equipment,3749,'<100','<1',2,'female div/dep/mar',none,4,car,26,none,own,1,skilled,1,none,yes,good
'0<=X<200',12,'existing paid',buy_new_car,685,'<100','4<=X<7',2,'male mar/wid',none,3,car,25,bank,own,1,'unskilled resident',1,none,yes,bad
'>=200',4,'existing paid',buy_new_car,1494,'no known savings','<1',1,'male single',none,2,'real estate',29,none,own,1,'unskilled resident',2,none,no,good
'<0',36,'all paid',buy_furniture_equipment,2746,'<100','>=7',4,'male single',none,4,car,31,bank,own,1,skilled,1,none,yes,bad
'<0',12,'existing paid',buy_furniture_equipment,708,'<100','1<=X<4',2,'male single',guarantor,3,'life insurance',38,none,own,1,'unskilled resident',2,none,yes,good
'0<=X<200',24,'existing paid',buy_furniture_equipment,4351,'no known savings','1<=X<4',1,'female div/dep/mar',none,4,'life insurance',48,none,own,1,'unskilled resident',1,yes,yes,good
'no checking',12,'critical/other existing credit',education,701,'<100','1<=X<4',4,'male single',none,2,car,32,none,own,2,skilled,1,none,yes,good
'<0',15,'delayed previously',buy_furniture_equipment,3643,'<100','>=7',1,'female div/dep/mar',none,4,'life insurance',27,none,own,2,'unskilled resident',1,none,yes,good
'0<=X<200',30,'critical/other existing credit',buy_new_car,4249,'<100',unemployed,4,'male mar/wid',none,2,car,28,none,own,2,'high qualif/self emp/mgmt',1,none,yes,bad
'<0',24,'existing paid',buy_radio_tv,1938,'<100','<1',4,'male div/sep',none,3,'life insurance',32,none,own,1,skilled,1,none,yes,bad
'<0',24,'existing paid',buy_used_car,2910,'<100','4<=X<7',2,'male single',none,1,'no known property',34,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'<0',18,'existing paid',buy_furniture_equipment,2659,'>=1000','1<=X<4',4,'male single',none,2,car,28,none,own,1,skilled,1,none,yes,good
'no checking',18,'critical/other existing credit',buy_new_car,1028,'<100','1<=X<4',4,'female div/dep/mar',none,3,'real estate',36,none,own,2,skilled,1,none,yes,good
'<0',8,'critical/other existing credit',buy_new_car,3398,'<100','4<=X<7',1,'male single',none,4,'real estate',39,none,own,2,'unskilled resident',1,none,no,good
'no checking',12,'critical/other existing credit',buy_furniture_equipment,5801,'no known savings','>=7',2,'male single',none,4,'life insurance',49,none,rent,1,skilled,1,yes,yes,good
'no checking',24,'existing paid',buy_new_car,1525,'>=1000','4<=X<7',4,'female div/dep/mar',none,3,car,34,none,own,1,skilled,2,yes,yes,good
'>=200',36,'existing paid',buy_radio_tv,4473,'<100','>=7',4,'male single',none,2,car,31,none,own,1,skilled,1,none,yes,good
'0<=X<200',6,'existing paid',buy_radio_tv,1068,'<100','>=7',4,'male single',none,4,car,28,none,own,1,skilled,2,none,yes,good
'<0',24,'critical/other existing credit',buy_used_car,6615,'<100',unemployed,2,'male single',none,4,'no known property',75,none,'for free',2,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',18,'critical/other existing credit',education,1864,'100<=X<500','1<=X<4',4,'female div/dep/mar',none,2,'real estate',30,none,own,2,skilled,1,none,yes,bad
'0<=X<200',60,'existing paid',buy_new_car,7408,'100<=X<500','<1',4,'female div/dep/mar',none,2,'life insurance',24,none,own,1,'high qualif/self emp/mgmt',1,none,yes,bad
'no checking',48,'critical/other existing credit',buy_used_car,11590,'100<=X<500','1<=X<4',2,'female div/dep/mar',none,4,car,24,bank,rent,2,'unskilled resident',1,none,yes,bad
'<0',24,'no credits/all paid',buy_furniture_equipment,4110,'<100','>=7',3,'male single',none,4,'no known property',23,bank,rent,2,skilled,2,none,yes,bad
'<0',6,'critical/other existing credit',buy_furniture_equipment,3384,'<100','1<=X<4',1,'male div/sep',none,4,'real estate',44,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,bad
'0<=X<200',13,'existing paid',buy_radio_tv,2101,'<100','<1',2,'female div/dep/mar',guarantor,4,'life insurance',23,none,own,1,'unskilled resident',1,none,yes,good
'<0',15,'existing paid',buy_domestic_appliance,1275,'no known savings','1<=X<4',4,'female div/dep/mar',none,2,car,24,none,rent,1,skilled,1,none,yes,bad
'<0',24,'existing paid',buy_furniture_equipment,4169,'<100','1<=X<4',4,'male single',none,4,'life insurance',28,none,own,1,skilled,1,none,yes,good
'0<=X<200',10,'existing paid',buy_furniture_equipment,1521,'<100','1<=X<4',4,'male div/sep',none,2,car,31,none,own,1,'unskilled resident',1,none,yes,good
'0<=X<200',24,'critical/other existing credit',education,5743,'<100','<1',2,'female div/dep/mar',none,4,'no known property',24,none,'for free',2,skilled,1,yes,yes,good
'<0',21,'existing paid',buy_furniture_equipment,3599,'<100','4<=X<7',1,'female div/dep/mar',none,4,car,26,none,rent,1,'unskilled resident',1,none,yes,good
'0<=X<200',18,'existing paid',buy_radio_tv,3213,'500<=X<1000','<1',1,'male mar/wid',none,3,'real estate',25,none,rent,1,skilled,1,none,yes,good
'0<=X<200',18,'existing paid',business,4439,'<100','>=7',1,'male single','co applicant',1,'real estate',33,bank,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'>=200',10,'existing paid',buy_new_car,3949,'<100','<1',1,'male single',guarantor,1,'life insurance',37,none,own,1,'unskilled resident',2,none,yes,good
'no checking',15,'critical/other existing credit',buy_radio_tv,1459,'<100','1<=X<4',4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',1,none,yes,good
'0<=X<200',13,'critical/other existing credit',buy_radio_tv,882,'<100','<1',4,'male single',guarantor,4,'real estate',23,none,own,2,skilled,1,none,yes,good
'0<=X<200',24,'existing paid',buy_radio_tv,3758,'500<=X<1000',unemployed,1,'female div/dep/mar',none,4,'no known property',23,none,rent,1,'unemp/unskilled non res',1,none,yes,good
'no checking',6,'delayed previously',business,1743,'100<=X<500','1<=X<4',1,'male single',none,2,'real estate',34,none,own,2,'unskilled resident',1,none,yes,good
'0<=X<200',9,'critical/other existing credit',education,1136,'>=1000','>=7',4,'male single',none,3,'no known property',32,none,'for free',2,skilled,2,none,yes,bad
'no checking',9,'existing paid',buy_domestic_appliance,1236,'<100','<1',1,'female div/dep/mar',none,4,'real estate',23,none,rent,1,skilled,1,yes,yes,good
'0<=X<200',9,'existing paid',buy_furniture_equipment,959,'<100','1<=X<4',1,'female div/dep/mar',none,2,car,29,none,own,1,skilled,1,none,no,bad
'no checking',18,'critical/other existing credit',buy_used_car,3229,'no known savings',unemployed,2,'male single',none,4,'no known property',38,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
'<0',12,'no credits/all paid',buy_radio_tv,6199,'<100','1<=X<4',4,'male single',none,2,'life insurance',28,none,rent,2,skilled,1,yes,yes,bad
'no checking',10,'existing paid',education,727,'500<=X<1000','>=7',4,'male single',none,4,'no known property',46,none,'for free',1,skilled,1,yes,yes,good
